timestamp,tx_hash,block_height,time,time_formatted,size,weight,fee_btc,total_input_btc,total_output_btc,input_count,output_count,inputs,outputs
2026-08-23T00:08:22.779195,b75ca3106ed100521aa50e3ec267a06431c6319538898b25e1b757a5736f5fb4,800000,1690168629,2023-07-24 03:17:09,192,660,-6.3868768,0.0,6.3868768,1,2,,3KZDwmJHB6QJ13QPXHaW7SS3yTESFPZoxb:638687680;:0
2026-08-23T00:08:22.779221,d41f5de48325e79070ccd3a23005f7a3b405f3ce1faa4df09f6d71770497e9d5,800000,1690168369,2023-07-24 03:12:49,235,610,0.00169125,0.00604308,0.00435183,1,2,bc1qvndmep839uexn899qy865cvddgj4txm0nkjua9,bc1p94scc8mn65fnlhyh64zml064kn9692e2n4q7gkttrhmt365ajdyq0m2mzh:143332;bc1qvndmep839uexn899qy865cvddgj4txm0nkjua9:291851
2026-08-23T00:08:22.779240,c2f59c6fc8e812f5f1f00c8a0a9ab1929c1e796788c57f49001b8006a824ea17,800000,1690168381,2023-07-24 03:13:01,205,616,0.001555,0.03659879,0.03504379,1,2,bc1pmc5m33qxt55kg3tu5cyxp30xnsva66cppr9qk5urz4vkdv2ctuasy200qx,bc1p9zujs6f5sndugh6eufu5saynzmmwwwxnfusdytacj0e3enxsraaq03e430:197000;bc1pmc5m33qxt55kg3tu5cyxp30xnsva66cppr9qk5urz4vkdv2ctuasy200qx:3307379
2026-08-23T00:08:22.779254,965f866bf8623bbf956c1b2aeec1efc1ad162fd428ab7fb89f128a0754ebbc32,800000,1690168381,2023-07-24 03:13:01,319,694,0.00174,0.00197,0.00023,1,2,bc1p9zujs6f5sndugh6eufu5saynzmmwwwxnfusdytacj0e3enxsraaq03e430,bc1pmc5m33qxt55kg3tu5cyxp30xnsva66cppr9qk5urz4vkdv2ctuasy200qx:546;bc1qzr4ayzwa47twuq22az48600ctg940vfcar3pzm:22454
2026-08-23T00:08:22.779267,6033990087599ce3cc6fd6f90694736fb9d7912bf5b2eec973389adf29066634,800000,1690168570,2023-07-24 03:16:10,244,649,0.00107,0.00107374,3.74e-06,1,2,bc1q7umtnud57373ck4p0qgmtr0dhtlhh3086xhay8,:0;bc1qfrlx88x9ugzm0v4qgzvryvgcz7esazfxqp5tn0:374
2026-08-23T00:08:22.779280,9f93590c52c2f8c2090b111db3202cd02853cc674be5535aa29813cafa685ce9,800000,1690168369,2023-07-24 03:12:49,357,1020,0.001285,0.00600546,0.00472046,2,3,bc1pgdzqcmj4d93cez5a4gusdv0jzxnx5q8tysxl3pg4477wngph76uqwtm45k;bc1pgdzqcmj4d93cez5a4gusdv0jzxnx5q8tysxl3pg4477wngph76uqwtm45k,bc1p5eh9u6rjaka9s5950jds7ekfauwelu9j5wz4aun2fj839cq6a86q5rj0cq:126800;bc1pgdzqcmj4d93cez5a4gusdv0jzxnx5q8tysxl3pg4477wngph76uqwtm45k:325946;bc1pej9xqe5maqr6jah5t33fkwtvmld09fhewzm94wjaj866072e95lqj9u7fq:19300
2026-08-23T00:08:22.779293,b8075e230cabaf8318a5247c0c91b1de03b2b63336898d0cf2dd222e56fe592a,800000,1690168581,2023-07-24 03:16:21,234,609,0.00076875,0.00291851,0.00214976,1,2,bc1qvndmep839uexn899qy865cvddgj4txm0nkjua9,bc1p9y7509gh3f88gy3xf7d7hy6nplvekanue6jvllmqpgsr7s3pfe8shn8xrw:93000;bc1qvndmep839uexn899qy865cvddgj4txm0nkjua9:121976
2026-08-23T00:08:22.779305,41bbcbed634b86ce645af38dcae0088fa6a2f3bd93d153b02422623a9973b38b,800000,1690168381,2023-07-24 03:13:01,162,444,0.000555,0.001268,0.000713,1,1,bc1p5eh9u6rjaka9s5950jds7ekfauwelu9j5wz4aun2fj839cq6a86q5rj0cq,bc1p596krfcpaeafy5z76vr3hjqdx8h5vy5qhkmlxnkt4gg5d0788dpqatvlsq:71300
2026-08-23T00:08:22.779316,1d11c135b165b5d9fe07f1b015ed21536aa1c235ff75cd7da5e73746d464cc97,800000,1690168581,2023-07-24 03:16:21,307,646,0.00081,0.00093,0.00012,1,2,bc1p9y7509gh3f88gy3xf7d7hy6nplvekanue6jvllmqpgsr7s3pfe8shn8xrw,bc1qvndmep839uexn899qy865cvddgj4txm0nkjua9:546;bc1qrzq8kzju8w8cf5n4uuemy26yd57ze3f9s7fvkk:11454
2026-08-23T00:08:22.779326,06cec2bd617a0ec4c6e2fc3c717f7b425d60eea9d9275e133930442b14ff77f7,800000,1690168381,2023-07-24 03:13:01,280,562,0.000705,0.000713,8e-06,1,1,bc1p596krfcpaeafy5z76vr3hjqdx8h5vy5qhkmlxnkt4gg5d0788dpqatvlsq,bc1ps2gmzqdzmxshhh74y8kmd02qef0a09ce4fv0h5597ymr472vs90qq5jmt2:800
