candidate_value_hex,candidate_value_dec
0x60,96
0x80,128
0xa0,160
0xe0,224
0x100,256
0x120,288
0x180,384
0x1a0,416
0x1e0,480
0x220,544
0x260,608
0x300,768
0x3c0,960
0x3e0,992
0x400,1024
0x460,1120
0x540,1344
0x5c0,1472
0x600,1536
0x6e0,1760
0x7c0,1984
0x7e0,2016
0xa00,2560
0xaa0,2720
0xb80,2944
0xc60,3168
0xd80,3456
0xf00,3840
0xfe0,4064
0x1100,4352
0x11e0,4576
0x1260,4704
0x1440,5184
0x14a0,5280
0x1500,5376
0x1560,5472
0x1860,6240
0x18e0,6368
0x1c00,7168
0x1d40,7488
0x1f80,8064
0x1fe0,8160
0x2000,8192
0x2020,8224
0x2240,8768
0x2400,9216
0x26a0,9888
0x2760,10080
0x2860,10336
0x2d00,11520
