Type,n,Value_J_Coordination,Value_S_CrystalBall
FCC_Shell,1,12,13
FCC_Shell,2,42,55
FCC_Shell,3,92,147
FCC_Shell,4,162,309
FCC_Shell,5,252,561
FCC_Shell,6,362,923
FCC_Shell,7,492,1415
FCC_Shell,8,642,2057
FCC_Shell,9,812,2869
FCC_Shell,10,1002,3871
FCC_Shell,11,1212,5083
FCC_Shell,12,1442,6525
FCC_Shell,13,1692,8217
FCC_Shell,14,1962,10179
FCC_Shell,15,2252,12431
FCC_Shell,16,2562,14993
FCC_Shell,17,2892,17885
FCC_Shell,18,3242,21127
FCC_Shell,19,3612,24739
FCC_Shell,20,4002,28741
FCC_Shell,21,4412,33153
FCC_Shell,22,4842,37995
FCC_Shell,23,5292,43287
FCC_Shell,24,5762,49049
FCC_Shell,25,6252,55301
FCC_Shell,26,6762,62063
FCC_Shell,27,7292,69355
FCC_Shell,28,7842,77197
FCC_Shell,29,8412,85609
FCC_Shell,30,9002,94611
FCC_Shell,31,9612,104223
FCC_Shell,32,10242,114465
FCC_Shell,33,10892,125357
FCC_Shell,34,11562,136919
FCC_Shell,35,12252,149171
FCC_Shell,36,12962,162133
FCC_Shell,37,13692,175825
FCC_Shell,38,14442,190267
FCC_Shell,39,15212,205479
FCC_Shell,40,16002,221481
FCC_Shell,41,16812,238293
FCC_Shell,42,17642,255935
FCC_Shell,43,18492,274427
FCC_Shell,44,19362,293789
FCC_Shell,45,20252,314041
FCC_Shell,46,21162,335203
FCC_Shell,47,22092,357295
FCC_Shell,48,23042,380337
FCC_Shell,49,24012,404349
FCC_Shell,50,25002,429351
FCC_Shell,51,26012,455363
FCC_Shell,52,27042,482405
FCC_Shell,53,28092,510497
FCC_Shell,54,29162,539659
FCC_Shell,55,30252,569911
FCC_Shell,56,31362,601273
FCC_Shell,57,32492,633765
FCC_Shell,58,33642,667407
FCC_Shell,59,34812,702219
FCC_Shell,60,36002,738221
FCC_Shell,61,37212,775433
FCC_Shell,62,38442,813875
FCC_Shell,63,39692,853567
FCC_Shell,64,40962,894529
FCC_Shell,65,42252,936781
FCC_Shell,66,43562,980343
FCC_Shell,67,44892,1025235
FCC_Shell,68,46242,1071477
FCC_Shell,69,47612,1119089
FCC_Shell,70,49002,1168091
FCC_Shell,71,50412,1218503
FCC_Shell,72,51842,1270345
FCC_Shell,73,53292,1323637
FCC_Shell,74,54762,1378399
FCC_Shell,75,56252,1434651
FCC_Shell,76,57762,1492413
FCC_Shell,77,59292,1551705
FCC_Shell,78,60842,1612547
FCC_Shell,79,62412,1674959
FCC_Shell,80,64002,1738961
FCC_Shell,81,65612,1804573
FCC_Shell,82,67242,1871815
FCC_Shell,83,68892,1940707
FCC_Shell,84,70562,2011269
FCC_Shell,85,72252,2083521
FCC_Shell,86,73962,2157483
FCC_Shell,87,75692,2233175
FCC_Shell,88,77442,2310617
FCC_Shell,89,79212,2389829
FCC_Shell,90,81002,2470831
FCC_Shell,91,82812,2553643
FCC_Shell,92,84642,2638285
FCC_Shell,93,86492,2724777
FCC_Shell,94,88362,2813139
FCC_Shell,95,90252,2903391
FCC_Shell,96,92162,2995553
FCC_Shell,97,94092,3089645
FCC_Shell,98,96042,3185687
FCC_Shell,99,98012,3283699
FCC_Shell,100,100002,3383701
