n,J(n)_FCC_Shell,S(n)_FCC_Cumulative
1,12,13
2,42,55
3,92,147
4,162,309
5,252,561
6,362,923
7,492,1415
8,642,2057
9,812,2869
10,1002,3871
11,1212,5083
12,1442,6525
13,1692,8217
14,1962,10179
15,2252,12431
16,2562,14993
17,2892,17885
18,3242,21127
19,3612,24739
20,4002,28741
21,4412,33153
22,4842,37995
23,5292,43287
24,5762,49049
25,6252,55301
26,6762,62063
27,7292,69355
28,7842,77197
29,8412,85609
30,9002,94611
31,9612,104223
32,10242,114465
33,10892,125357
34,11562,136919
35,12252,149171
36,12962,162133
37,13692,175825
38,14442,190267
39,15212,205479
40,16002,221481
41,16812,238293
42,17642,255935
43,18492,274427
44,19362,293789
45,20252,314041
46,21162,335203
47,22092,357295
48,23042,380337
49,24012,404349
50,25002,429351
