Index,Raw_Value,Balanced_Value,Hex
0,32,32,0x20
1,64,64,0x40
2,96,96,0x60
3,115792089237316195423570985008687907852837564279074904382605163141518161494241,-96,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd03640e1
4,128,128,0x80
5,115792089237316195423570985008687907852837564279074904382605163141518161494209,-128,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd03640c1
6,192,192,0xc0
7,224,224,0xe0
8,256,256,0x100
9,115792089237316195423570985008687907852837564279074904382605163141518161494081,-256,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd0364041
10,288,288,0x120
11,115792089237316195423570985008687907852837564279074904382605163141518161494049,-288,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd0364021
12,352,352,0x160
13,384,384,0x180
14,115792089237316195423570985008687907852837564279074904382605163141518161493921,-416,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd0363fa1
15,416,416,0x1a0
16,115792089237316195423570985008687907852837564279074904382605163141518161493889,-448,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd0363f81
17,448,448,0x1c0
18,512,512,0x200
19,544,544,0x220
20,115792089237316195423570985008687907852837564279074904382605163141518161493761,-576,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd0363f01
21,576,576,0x240
22,115792089237316195423570985008687907852837564279074904382605163141518161493729,-608,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd0363ee1
23,608,608,0x260
24,672,672,0x2a0
25,704,704,0x2c0
26,736,736,0x2e0
27,115792089237316195423570985008687907852837564279074904382605163141518161493601,-736,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd0363e61
28,768,768,0x300
29,115792089237316195423570985008687907852837564279074904382605163141518161493569,-768,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd0363e41
30,832,832,0x340
31,864,864,0x360
32,896,896,0x380
33,115792089237316195423570985008687907852837564279074904382605163141518161493441,-896,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd0363dc1
34,928,928,0x3a0
35,115792089237316195423570985008687907852837564279074904382605163141518161493409,-928,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd0363da1
36,992,992,0x3e0
37,1024,1024,0x400
38,1056,1056,0x420
39,115792089237316195423570985008687907852837564279074904382605163141518161493281,-1056,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd0363d21
40,1088,1088,0x440
41,115792089237316195423570985008687907852837564279074904382605163141518161493249,-1088,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd0363d01
42,1152,1152,0x480
43,1184,1184,0x4a0
44,1216,1216,0x4c0
45,115792089237316195423570985008687907852837564279074904382605163141518161493121,-1216,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd0363c81
