Index,Candidate_Value_Hex,Candidate_Value_Dec
0,0x4000,16384
1,0x10001,65537
2,0x100000001,4294967297
3,0x3,3
4,0x20000,131072
5,0x5,5
6,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd02e0e79,115792089237316195423570985008687907852837564279074904382605163141518160957049
7,0x7,7
8,0x8,8
9,0x4,4
10,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd0360e7e,115792089237316195423570985008687907852837564279074904382605163141518161481342
11,0x800000,8388608
12,0x4000000,67108864
13,0x20000000,536870912
14,0x100000000,4294967296
15,0xf,15
16,0x11,17
17,0x13,19
18,0x18,24
19,0x1f,31
20,0x800000000,34359738368
21,0x20,32
22,0x23,35
23,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd02d8e99,115792089237316195423570985008687907852837564279074904382605163141518160924313
24,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd0270e9e,115792089237316195423570985008687907852837564279074904382605163141518160498334
25,0x30,48
26,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd0362ea9,115792089237316195423570985008687907852837564279074904382605163141518161489577
27,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd034ceb2,115792089237316195423570985008687907852837564279074904382605163141518161399474
28,0x4203f,270399
29,0x1f4040,2048064
30,0x3e03f,254015
31,0x3f,63
32,0x14040,81984
33,0x50040,327744
34,0x4c043,311363
35,0x140040,1310784
36,0x2d0040,2949184
37,0x6048,24648
38,0xb4040,737344
39,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd0290ebe,115792089237316195423570985008687907852837564279074904382605163141518160629438
40,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd034aec1,115792089237316195423570985008687907852837564279074904382605163141518161391297
41,0x50,80
42,0x55,85
43,0x2058,8280
44,0xda060,893024
45,0x63,99
46,0x6a068,434280
47,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd02fcede,115792089237316195423570985008687907852837564279074904382605163141518161071838
48,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd02b4ee1,115792089237316195423570985008687907852837564279074904382605163141518160776929
49,0x78,120
50,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd0352ef1,115792089237316195423570985008687907852837564279074904382605163141518161424113
51,0x7f,127
52,0xc083,49283
53,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd0308ef9,115792089237316195423570985008687907852837564279074904382605163141518161121017
54,0x7a088,499848
55,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd0336efe,115792089237316195423570985008687907852837564279074904382605163141518161309438
56,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd0356f02,115792089237316195423570985008687907852837564279074904382605163141518161440514
57,0x8f,143
58,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd02caf02,115792089237316195423570985008687907852837564279074904382605163141518160867074
59,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd0350f02,115792089237316195423570985008687907852837564279074904382605163141518161415938
60,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd02dcf02,115792089237316195423570985008687907852837564279074904382605163141518160940802
61,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd035cf09,115792089237316195423570985008687907852837564279074904382605163141518161465097
62,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd0354f11,115792089237316195423570985008687907852837564279074904382605163141518161432337
63,0x5c0a3,376995
64,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd027cf19,115792089237316195423570985008687907852837564279074904382605163141518160547609
65,0xa8,168
66,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd033ef1e,115792089237316195423570985008687907852837564279074904382605163141518161342238
67,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd035ef21,115792089237316195423570985008687907852837564279074904382605163141518161473313
68,0x280b8,164024
69,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd0362f32,115792089237316195423570985008687907852837564279074904382605163141518161489714
70,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd0284f32,115792089237316195423570985008687907852837564279074904382605163141518160580402
71,0x2a0c0,172224
72,0xc3,195
73,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd02d2f39,115792089237316195423570985008687907852837564279074904382605163141518160899897
74,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd02a0f3e,115792089237316195423570985008687907852837564279074904382605163141518160695102
75,0x860d8,549080
76,0xe0,224
77,0xb20e3,729315
78,0x3ffff,262143
79,0x1c0e8,114920
80,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd0360f61,115792089237316195423570985008687907852837564279074904382605163141518161481569
81,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd0344f69,115792089237316195423570985008687907852837564279074904382605163141518161366889
82,0xa0f8,41208
83,0x1fff,8191
84,0xff,255
85,0x4100,16640
86,0x101,257
87,0x3c0ff,246015
88,0xe0ff,57599
89,0x120ff,73983
90,0x440ff,278783
91,0x8a0ff,565503
92,0x960ff,614655
93,0xe0103,917763
94,0x100,256
95,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd0316f7e,115792089237316195423570985008687907852837564279074904382605163141518161178494
96,0x210f,8463
97,0xba110,762128
98,0xd410f,868623
99,0x120,288
100,0x18123,98595
101,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd034ef9e,115792089237316195423570985008687907852837564279074904382605163141518161407902
102,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd028afa1,115792089237316195423570985008687907852837564279074904382605163141518160605089
103,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd031efb2,115792089237316195423570985008687907852837564279074904382605163141518161211314
104,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd0328fb2,115792089237316195423570985008687907852837564279074904382605163141518161252274
105,0x1e140,123200
106,0x143,323
107,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd0362fb9,115792089237316195423570985008687907852837564279074904382605163141518161489849
108,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd02acfbe,115792089237316195423570985008687907852837564279074904382605163141518160744382
109,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd00a2fc1,115792089237316195423570985008687907852837564279074904382605163141518158606273
110,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd0318fc1,115792089237316195423570985008687907852837564279074904382605163141518161186753
111,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd030efc1,115792089237316195423570985008687907852837564279074904382605163141518161145793
112,0xc0150,786768
113,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd0084fc1,115792089237316195423570985008687907852837564279074904382605163141518158483393
114,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd035afc1,115792089237316195423570985008687907852837564279074904382605163141518161457089
115,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd0294fd1,115792089237316195423570985008687907852837564279074904382605163141518160646097
116,0xe8160,950624
117,0x8163,33123
118,0x168,360
119,0x169,361
120,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd02b6fde,115792089237316195423570985008687907852837564279074904382605163141518160785374
121,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd032cfe9,115792089237316195423570985008687907852837564279074904382605163141518161268713
122,0x26178,156024
123,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd035dd42,115792089237316195423570985008687907852837564279074904382605163141518161468738
124,0x180,384
125,0x136180,1270144
126,0x14a180,1352064
127,0x6183,24963
128,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd02c8ff9,115792089237316195423570985008687907852837564279074904382605163141518160859129
129,0x18f,399
130,0x2c190,180624
131,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd0359009,115792089237316195423570985008687907852837564279074904382605163141518161448969
132,0x32198,205208
