Index,Offset_Value,Hex,Binary_Length
0,1,0x1,1
1,2,0x2,2
2,4,0x4,3
3,6,0x6,3
4,8,0x8,4
5,9,0x9,4
6,11,0xb,4
7,12,0xc,4
8,14,0xe,4
9,16,0x10,5
10,18,0x12,5
11,19,0x13,5
12,21,0x15,5
13,22,0x16,5
14,24,0x18,5
15,26,0x1a,5
16,28,0x1c,5
17,31,0x1f,5
18,32,0x20,6
19,34,0x22,6
20,36,0x24,6
21,38,0x26,6
22,39,0x27,6
23,41,0x29,6
24,42,0x2a,6
25,44,0x2c,6
26,46,0x2e,6
27,48,0x30,6
28,49,0x31,6
29,51,0x33,6
30,52,0x34,6
31,54,0x36,6
32,56,0x38,6
33,58,0x3a,6
34,61,0x3d,6
35,64,0x40,7
36,66,0x42,7
37,71,0x47,7
38,74,0x4a,7
39,76,0x4c,7
40,78,0x4e,7
41,79,0x4f,7
42,81,0x51,7
43,82,0x52,7
44,84,0x54,7
45,88,0x58,7
46,89,0x59,7
47,91,0x5b,7
48,92,0x5c,7
49,94,0x5e,7
50,96,0x60,7
51,98,0x62,7
52,101,0x65,7
53,102,0x66,7
54,106,0x6a,7
55,109,0x6d,7
56,111,0x6f,7
57,112,0x70,7
58,121,0x79,7
59,124,0x7c,7
60,126,0x7e,7
61,128,0x80,8
62,131,0x83,8
63,132,0x84,8
64,134,0x86,8
65,136,0x88,8
66,141,0x8d,8
67,144,0x90,8
68,146,0x92,8
69,148,0x94,8
70,151,0x97,8
71,152,0x98,8
72,154,0x9a,8
73,156,0x9c,8
74,161,0xa1,8
75,162,0xa2,8
76,166,0xa6,8
77,169,0xa9,8
78,171,0xab,8
79,176,0xb0,8
80,181,0xb5,8
81,182,0xb6,8
82,186,0xba,8
83,189,0xbd,8
84,191,0xbf,8
85,194,0xc2,8
86,196,0xc4,8
87,198,0xc6,8
88,199,0xc7,8
89,201,0xc9,8
90,204,0xcc,8
91,206,0xce,8
92,211,0xd3,8
93,216,0xd8,8
94,218,0xda,8
95,221,0xdd,8
96,226,0xe2,8
97,231,0xe7,8
98,232,0xe8,8
99,238,0xee,8
100,241,0xf1,8
101,246,0xf6,8
102,252,0xfc,8
103,256,0x100,9
104,258,0x102,9
105,259,0x103,9
106,261,0x105,9
107,271,0x10f,9
108,274,0x112,9
109,276,0x114,9
110,281,0x119,9
111,286,0x11e,9
112,288,0x120,9
113,289,0x121,9
114,294,0x126,9
115,296,0x128,9
116,301,0x12d,9
117,302,0x12e,9
118,309,0x135,9
119,316,0x13c,9
120,322,0x142,9
121,324,0x144,9
122,326,0x146,9
123,331,0x14b,9
124,341,0x155,9
125,342,0x156,9
126,344,0x158,9
127,349,0x15d,9
128,351,0x15f,9
129,358,0x166,9
130,361,0x169,9
131,362,0x16a,9
132,364,0x16c,9
133,369,0x171,9
134,372,0x174,9
135,376,0x178,9
136,378,0x17a,9
137,379,0x17b,9
138,386,0x182,9
139,391,0x187,9
140,396,0x18c,9
141,398,0x18e,9
142,402,0x192,9
143,406,0x196,9
144,408,0x198,9
145,409,0x199,9
146,421,0x1a5,9
147,428,0x1ac,9
148,429,0x1ad,9
149,434,0x1b2,9
150,441,0x1b9,9
151,444,0x1bc,9
152,449,0x1c1,9
153,451,0x1c3,9
154,456,0x1c8,9
155,469,0x1d5,9
156,474,0x1da,9
157,481,0x1e1,9
158,484,0x1e4,9
159,486,0x1e6,9
160,488,0x1e8,9
161,489,0x1e9,9
162,492,0x1ec,9
163,496,0x1f0,9
164,502,0x1f6,9
165,506,0x1fa,9
166,512,0x200,10
167,514,0x202,10
168,518,0x206,10
169,526,0x20e,10
170,528,0x210,10
171,529,0x211,10
172,532,0x214,10
173,541,0x21d,10
174,549,0x225,10
175,551,0x227,10
176,559,0x22f,10
177,561,0x231,10
178,571,0x23b,10
179,576,0x240,10
180,578,0x242,10
181,586,0x24a,10
182,601,0x259,10
183,602,0x25a,10
184,606,0x25e,10
185,616,0x268,10
186,621,0x26d,10
187,631,0x277,10
188,638,0x27e,10
189,642,0x282,10
190,649,0x289,10
191,651,0x28b,10
192,654,0x28e,10
193,661,0x295,10
194,666,0x29a,10
195,671,0x29f,10
196,672,0x2a0,10
197,676,0x2a4,10
198,678,0x2a6,10
199,681,0x2a9,10
200,694,0x2b6,10
201,716,0x2cc,10
202,721,0x2d1,10
203,722,0x2d2,10
204,726,0x2d6,10
205,728,0x2d8,10
206,729,0x2d9,10
207,736,0x2e0,10
208,738,0x2e2,10
209,741,0x2e5,10
210,742,0x2e6,10
211,761,0x2f9,10
212,766,0x2fe,10
213,771,0x303,10
214,781,0x30d,10
215,782,0x30e,10
216,784,0x310,10
217,786,0x312,10
218,804,0x324,10
219,806,0x326,10
220,811,0x32b,10
221,812,0x32c,10
222,816,0x330,10
223,826,0x33a,10
224,829,0x33d,10
225,836,0x344,10
226,841,0x349,10
227,852,0x354,10
228,856,0x358,10
229,859,0x35b,10
230,861,0x35d,10
231,866,0x362,10
