n,J(n)_FCC,S(n)_CrystalBall,Description
1,12,13,FCC shell at n=1
2,42,55,FCC shell at n=2
3,92,147,FCC shell at n=3
4,162,309,FCC shell at n=4
5,252,561,FCC shell at n=5
6,362,923,FCC shell at n=6
7,492,1415,FCC shell at n=7
8,642,2057,FCC shell at n=8
9,812,2869,FCC shell at n=9
10,1002,3871,FCC shell at n=10
11,1212,5083,FCC shell at n=11
12,1442,6525,FCC shell at n=12
13,1692,8217,FCC shell at n=13
14,1962,10179,FCC shell at n=14
15,2252,12431,FCC shell at n=15
16,2562,14993,FCC shell at n=16
17,2892,17885,FCC shell at n=17
18,3242,21127,FCC shell at n=18
19,3612,24739,FCC shell at n=19
20,4002,28741,FCC shell at n=20
21,4412,33153,FCC shell at n=21
22,4842,37995,FCC shell at n=22
23,5292,43287,FCC shell at n=23
24,5762,49049,FCC shell at n=24
25,6252,55301,FCC shell at n=25
26,6762,62063,FCC shell at n=26
27,7292,69355,FCC shell at n=27
28,7842,77197,FCC shell at n=28
29,8412,85609,FCC shell at n=29
30,9002,94611,FCC shell at n=30
31,9612,104223,FCC shell at n=31
32,10242,114465,FCC shell at n=32
33,10892,125357,FCC shell at n=33
34,11562,136919,FCC shell at n=34
35,12252,149171,FCC shell at n=35
36,12962,162133,FCC shell at n=36
37,13692,175825,FCC shell at n=37
38,14442,190267,FCC shell at n=38
39,15212,205479,FCC shell at n=39
40,16002,221481,FCC shell at n=40
41,16812,238293,FCC shell at n=41
42,17642,255935,FCC shell at n=42
43,18492,274427,FCC shell at n=43
44,19362,293789,FCC shell at n=44
45,20252,314041,FCC shell at n=45
46,21162,335203,FCC shell at n=46
47,22092,357295,FCC shell at n=47
48,23042,380337,FCC shell at n=48
49,24012,404349,FCC shell at n=49
50,25002,429351,FCC shell at n=50
51,26012,455363,FCC shell at n=51
52,27042,482405,FCC shell at n=52
53,28092,510497,FCC shell at n=53
54,29162,539659,FCC shell at n=54
55,30252,569911,FCC shell at n=55
56,31362,601273,FCC shell at n=56
57,32492,633765,FCC shell at n=57
58,33642,667407,FCC shell at n=58
59,34812,702219,FCC shell at n=59
60,36002,738221,FCC shell at n=60
61,37212,775433,FCC shell at n=61
62,38442,813875,FCC shell at n=62
63,39692,853567,FCC shell at n=63
64,40962,894529,FCC shell at n=64
65,42252,936781,FCC shell at n=65
66,43562,980343,FCC shell at n=66
67,44892,1025235,FCC shell at n=67
68,46242,1071477,FCC shell at n=68
69,47612,1119089,FCC shell at n=69
70,49002,1168091,FCC shell at n=70
71,50412,1218503,FCC shell at n=71
72,51842,1270345,FCC shell at n=72
73,53292,1323637,FCC shell at n=73
74,54762,1378399,FCC shell at n=74
75,56252,1434651,FCC shell at n=75
76,57762,1492413,FCC shell at n=76
77,59292,1551705,FCC shell at n=77
78,60842,1612547,FCC shell at n=78
79,62412,1674959,FCC shell at n=79
80,64002,1738961,FCC shell at n=80
81,65612,1804573,FCC shell at n=81
82,67242,1871815,FCC shell at n=82
83,68892,1940707,FCC shell at n=83
84,70562,2011269,FCC shell at n=84
85,72252,2083521,FCC shell at n=85
86,73962,2157483,FCC shell at n=86
87,75692,2233175,FCC shell at n=87
88,77442,2310617,FCC shell at n=88
89,79212,2389829,FCC shell at n=89
90,81002,2470831,FCC shell at n=90
91,82812,2553643,FCC shell at n=91
92,84642,2638285,FCC shell at n=92
93,86492,2724777,FCC shell at n=93
94,88362,2813139,FCC shell at n=94
95,90252,2903391,FCC shell at n=95
96,92162,2995553,FCC shell at n=96
97,94092,3089645,FCC shell at n=97
98,96042,3185687,FCC shell at n=98
99,98012,3283699,FCC shell at n=99
100,100002,3383701,FCC shell at n=100
