Family_Type,Parameters,Value,Scaled_Value,In_Candidates
FCC_Lattice,n=1,12,384,True
Polygonal_k3,n=1,1,32,True
Polygonal_k4,n=1,1,32,True
Polygonal_k5,n=1,1,32,True
Polygonal_k6,n=1,1,32,True
FCC_Lattice,n=2,42,1344,True
Polygonal_k3,n=2,3,96,True
Polygonal_k4,n=2,4,128,True
Polygonal_k5,n=2,5,160,True
Polygonal_k6,n=2,6,192,True
FCC_Lattice,n=3,92,2944,True
Polygonal_k3,n=3,6,192,True
Polygonal_k4,n=3,9,288,True
Polygonal_k5,n=3,12,384,True
Polygonal_k6,n=3,15,480,True
FCC_Lattice,n=4,162,5184,True
Polygonal_k3,n=4,10,320,True
Polygonal_k4,n=4,16,512,True
Polygonal_k5,n=4,22,704,True
Polygonal_k6,n=4,28,896,True
FCC_Lattice,n=5,252,8064,True
Polygonal_k3,n=5,15,480,True
Polygonal_k4,n=5,25,800,True
Polygonal_k5,n=5,35,1120,True
Polygonal_k6,n=5,45,1440,True
FCC_Lattice,n=6,362,11584,True
Polygonal_k3,n=6,21,672,True
Polygonal_k4,n=6,36,1152,True
Polygonal_k5,n=6,51,1632,True
Polygonal_k6,n=6,66,2112,True
FCC_Lattice,n=7,492,15744,True
Polygonal_k3,n=7,28,896,True
Polygonal_k4,n=7,49,1568,True
Polygonal_k5,n=7,70,2240,True
Polygonal_k6,n=7,91,2912,True
FCC_Lattice,n=8,642,20544,True
Polygonal_k3,n=8,36,1152,True
Polygonal_k4,n=8,64,2048,True
Polygonal_k5,n=8,92,2944,True
Polygonal_k6,n=8,120,3840,True
FCC_Lattice,n=9,812,25984,True
Polygonal_k3,n=9,45,1440,True
Polygonal_k4,n=9,81,2592,True
Polygonal_k5,n=9,117,3744,True
Polygonal_k6,n=9,153,4896,True
FCC_Lattice,n=10,1002,32064,True
Polygonal_k3,n=10,55,1760,True
Polygonal_k4,n=10,100,3200,True
Polygonal_k5,n=10,145,4640,True
Polygonal_k6,n=10,190,6080,True
FCC_Lattice,n=11,1212,38784,True
Polygonal_k3,n=11,66,2112,True
Polygonal_k4,n=11,121,3872,True
Polygonal_k5,n=11,176,5632,True
Polygonal_k6,n=11,231,7392,True
FCC_Lattice,n=12,1442,46144,True
Polygonal_k3,n=12,78,2496,True
Polygonal_k4,n=12,144,4608,True
Polygonal_k5,n=12,210,6720,True
Polygonal_k6,n=12,276,8832,True
FCC_Lattice,n=13,1692,54144,True
Polygonal_k3,n=13,91,2912,True
Polygonal_k4,n=13,169,5408,True
Polygonal_k5,n=13,247,7904,True
Polygonal_k6,n=13,325,10400,True
FCC_Lattice,n=14,1962,62784,True
Polygonal_k3,n=14,105,3360,True
Polygonal_k4,n=14,196,6272,True
Polygonal_k5,n=14,287,9184,True
Polygonal_k6,n=14,378,12096,True
FCC_Lattice,n=15,2252,72064,False
Polygonal_k3,n=15,120,3840,True
Polygonal_k4,n=15,225,7200,True
Polygonal_k5,n=15,330,10560,True
Polygonal_k6,n=15,435,13920,True
FCC_Lattice,n=16,2562,81984,False
Polygonal_k3,n=16,136,4352,True
Polygonal_k4,n=16,256,8192,True
Polygonal_k5,n=16,376,12032,True
Polygonal_k6,n=16,496,15872,True
FCC_Lattice,n=17,2892,92544,False
Polygonal_k3,n=17,153,4896,True
Polygonal_k4,n=17,289,9248,True
Polygonal_k5,n=17,425,13600,True
Polygonal_k6,n=17,561,17952,True
FCC_Lattice,n=18,3242,103744,False
Polygonal_k3,n=18,171,5472,True
Polygonal_k4,n=18,324,10368,True
Polygonal_k5,n=18,477,15264,True
Polygonal_k6,n=18,630,20160,True
FCC_Lattice,n=19,3612,115584,False
Polygonal_k3,n=19,190,6080,True
Polygonal_k4,n=19,361,11552,True
Polygonal_k5,n=19,532,17024,True
Polygonal_k6,n=19,703,22496,True
