Offset,Decimal,Hex,Filtered
0,0,0x0,False
32,32,0x20,True
64,64,0x40,True
96,96,0x60,True
128,128,0x80,True
160,160,0xa0,False
192,192,0xc0,True
224,224,0xe0,True
256,256,0x100,True
288,288,0x120,True
320,320,0x140,False
352,352,0x160,True
384,384,0x180,True
416,416,0x1a0,True
448,448,0x1c0,True
480,480,0x1e0,False
512,512,0x200,True
544,544,0x220,True
576,576,0x240,True
608,608,0x260,True
640,640,0x280,False
672,672,0x2a0,True
704,704,0x2c0,True
768,768,0x300,True
800,800,0x320,False
832,832,0x340,True
864,864,0x360,True
896,896,0x380,True
960,960,0x3c0,False
992,992,0x3e0,True
1024,1024,0x400,True
1056,1056,0x420,True
1088,1088,0x440,True
1120,1120,0x460,False
1152,1152,0x480,True
1184,1184,0x4a0,True
1216,1216,0x4c0,True
1248,1248,0x4e0,True
1280,1280,0x500,False
1312,1312,0x520,True
1344,1344,0x540,True
1376,1376,0x560,True
1408,1408,0x580,True
1440,1440,0x5a0,False
1472,1472,0x5c0,True
1536,1536,0x600,True
1568,1568,0x620,True
1600,1600,0x640,False
1632,1632,0x660,True
1664,1664,0x680,True
1728,1728,0x6c0,True
1760,1760,0x6e0,False
1792,1792,0x700,True
1824,1824,0x720,True
1856,1856,0x740,True
1952,1952,0x7a0,True
2048,2048,0x800,True
2080,2080,0x820,False
2112,2112,0x840,True
2144,2144,0x860,True
2240,2240,0x8c0,False
2272,2272,0x8e0,True
2336,2336,0x920,True
2368,2368,0x940,True
2400,2400,0x960,False
2432,2432,0x980,True
2496,2496,0x9c0,True
2528,2528,0x9e0,True
2592,2592,0xa20,True
2624,2624,0xa40,True
2688,2688,0xa80,True
2720,2720,0xaa0,False
2816,2816,0xb00,True
2848,2848,0xb20,True
2912,2912,0xb60,True
2944,2944,0xb80,True
3008,3008,0xbc0,True
3040,3040,0xbe0,False
3072,3072,0xc00,True
3104,3104,0xc20,True
3136,3136,0xc40,True
3200,3200,0xc80,False
3232,3232,0xca0,True
3264,3264,0xcc0,True
3296,3296,0xce0,True
3360,3360,0xd20,False
3392,3392,0xd40,True
3488,3488,0xda0,True
3520,3520,0xdc0,False
3552,3552,0xde0,True
3584,3584,0xe00,True
3616,3616,0xe20,True
3680,3680,0xe60,False
3744,3744,0xea0,True
3840,3840,0xf00,False
3872,3872,0xf20,True
3968,3968,0xf80,True
4000,4000,0xfa0,False
4032,4032,0xfc0,True
4064,4064,0xfe0,True
4096,4096,0x1000,True
4192,4192,0x1060,True
4224,4224,0x1080,True
4256,4256,0x10a0,True
4288,4288,0x10c0,True
4320,4320,0x10e0,False
4352,4352,0x1100,True
4512,4512,0x11a0,True
4608,4608,0x1200,True
4640,4640,0x1220,False
4672,4672,0x1240,True
4704,4704,0x1260,True
4736,4736,0x1280,True
4800,4800,0x12c0,False
4832,4832,0x12e0,True
4864,4864,0x1300,True
4896,4896,0x1320,True
4928,4928,0x1340,True
4960,4960,0x1360,False
4992,4992,0x1380,True
5152,5152,0x1420,True
5184,5184,0x1440,True
5280,5280,0x14a0,False
5312,5312,0x14c0,True
5408,5408,0x1520,True
5472,5472,0x1560,True
5600,5600,0x15e0,False
5632,5632,0x1600,True
5792,5792,0x16a0,True
5824,5824,0x16c0,True
5920,5920,0x1720,False
5952,5952,0x1740,True
6048,6048,0x17a0,True
6080,6080,0x17c0,False
6112,6112,0x17e0,True
6208,6208,0x1840,True
6272,6272,0x1880,True
6304,6304,0x18a0,True
6336,6336,0x18c0,True
6368,6368,0x18e0,True
6432,6432,0x1920,True
6528,6528,0x1980,True
6560,6560,0x19a0,False
6592,6592,0x19c0,True
6720,6720,0x1a40,False
6752,6752,0x1a60,True
6912,6912,0x1b00,True
6944,6944,0x1b20,True
6976,6976,0x1b40,True
7040,7040,0x1b80,False
7072,7072,0x1ba0,True
7200,7200,0x1c20,False
7232,7232,0x1c40,True
7392,7392,0x1ce0,True
7424,7424,0x1d00,True
7456,7456,0x1d20,True
7520,7520,0x1d60,False
7616,7616,0x1dc0,True
7712,7712,0x1e20,True
7872,7872,0x1ec0,True
7904,7904,0x1ee0,True
8064,8064,0x1f80,True
8096,8096,0x1fa0,True
8160,8160,0x1fe0,False
8192,8192,0x2000,True
8256,8256,0x2040,True
8288,8288,0x2060,True
8320,8320,0x2080,False
8352,8352,0x20a0,True
8480,8480,0x2120,False
8672,8672,0x21e0,True
8736,8736,0x2220,True
8768,8768,0x2240,True
8832,8832,0x2280,True
8960,8960,0x2300,False
8992,8992,0x2320,True
9152,9152,0x23c0,True
9184,9184,0x23e0,True
9216,9216,0x2400,True
9248,9248,0x2420,True
9408,9408,0x24c0,True
9440,9440,0x24e0,False
9472,9472,0x2500,True
9504,9504,0x2520,True
9600,9600,0x2580,False
9632,9632,0x25a0,True
9664,9664,0x25c0,True
9888,9888,0x26a0,True
10016,10016,0x2720,True
10112,10112,0x2780,True
10304,10304,0x2840,True
10368,10368,0x2880,True
10400,10400,0x28a0,False
10432,10432,0x28c0,True
10560,10560,0x2940,False
10592,10592,0x2960,True
10656,10656,0x29a0,True
10784,10784,0x2a20,True
10912,10912,0x2aa0,True
10944,10944,0x2ac0,True
10976,10976,0x2ae0,True
11008,11008,0x2b00,True
11168,11168,0x2ba0,True
11232,11232,0x2be0,True
11456,11456,0x2cc0,True
11552,11552,0x2d20,True
11584,11584,0x2d40,True
11648,11648,0x2d80,True
11680,11680,0x2da0,False
11808,11808,0x2e20,True
11840,11840,0x2e40,False
11904,11904,0x2e80,True
12032,12032,0x2f00,True
12064,12064,0x2f20,True
12096,12096,0x2f40,True
12128,12128,0x2f60,True
12320,12320,0x3020,False
12352,12352,0x3040,True
12512,12512,0x30e0,True
12576,12576,0x3120,True
12672,12672,0x3180,True
12704,12704,0x31a0,True
12736,12736,0x31c0,True
12800,12800,0x3200,False
12864,12864,0x3240,True
12896,12896,0x3260,True
12960,12960,0x32a0,False
12992,12992,0x32c0,True
13056,13056,0x3300,True
13088,13088,0x3320,True
13280,13280,0x33e0,False
13472,13472,0x34a0,True
13600,13600,0x3520,False
13696,13696,0x3580,True
13728,13728,0x35a0,True
13856,13856,0x3620,True
13888,13888,0x3640,True
13920,13920,0x3660,False
14112,14112,0x3720,True
14208,14208,0x3780,True
14368,14368,0x3820,True
14432,14432,0x3860,True
14560,14560,0x38e0,False
14592,14592,0x3900,True
14720,14720,0x3980,False
14816,14816,0x39e0,True
14880,14880,0x3a20,False
15008,15008,0x3aa0,True
15168,15168,0x3b40,True
15264,15264,0x3ba0,True
15392,15392,0x3c20,True
15488,15488,0x3c80,True
15552,15552,0x3cc0,True
15616,15616,0x3d00,True
15648,15648,0x3d20,True
15744,15744,0x3d80,True
15840,15840,0x3de0,False
15872,15872,0x3e00,True
16064,16064,0x3ec0,True
16160,16160,0x3f20,False
16192,16192,0x3f40,True
16224,16224,0x3f60,True
16384,16384,0x4000,True
16416,16416,0x4020,True
16448,16448,0x4040,True
16576,16576,0x40c0,True
16832,16832,0x41c0,True
16896,16896,0x4200,True
16928,16928,0x4220,True
17024,17024,0x4280,True
17056,17056,0x42a0,True
17280,17280,0x4380,False
17312,17312,0x43a0,True
17440,17440,0x4420,False
17504,17504,0x4460,True
17568,17568,0x44a0,True
17600,17600,0x44c0,False
17632,17632,0x44e0,True
17888,17888,0x45e0,True
17920,17920,0x4600,False
17952,17952,0x4620,True
18272,18272,0x4760,True
18432,18432,0x4800,True
18464,18464,0x4820,True
18496,18496,0x4840,True
18720,18720,0x4920,False
18752,18752,0x4940,True
18880,18880,0x49c0,False
19040,19040,0x4a60,False
19232,19232,0x4b20,True
19264,19264,0x4b40,True
19392,19392,0x4bc0,True
19520,19520,0x4c40,False
19616,19616,0x4ca0,True
19712,19712,0x4d00,True
19872,19872,0x4da0,True
20000,20000,0x4e20,False
20160,20160,0x4ec0,False
20192,20192,0x4ee0,True
20384,20384,0x4fa0,True
20416,20416,0x4fc0,True
20480,20480,0x5000,False
20544,20544,0x5040,True
20640,20640,0x50a0,False
20768,20768,0x5120,True
20832,20832,0x5160,True
20928,20928,0x51c0,True
21024,21024,0x5220,True
21152,21152,0x52a0,True
21312,21312,0x5340,True
21440,21440,0x53c0,False
21472,21472,0x53e0,True
21504,21504,0x5400,True
21632,21632,0x5480,True
21696,21696,0x54c0,True
21760,21760,0x5500,False
21792,21792,0x5520,True
21920,21920,0x55a0,False
22208,22208,0x56c0,True
22304,22304,0x5720,True
22496,22496,0x57e0,True
22880,22880,0x5960,False
22912,22912,0x5980,True
23072,23072,0x5a20,True
23104,23104,0x5a40,True
23232,23232,0x5ac0,True
23264,23264,0x5ae0,True
23296,23296,0x5b00,True
23328,23328,0x5b20,True
23360,23360,0x5b40,False
23552,23552,0x5c00,True
23616,23616,0x5c40,True
23712,23712,0x5ca0,True
23744,23744,0x5cc0,True
24000,24000,0x5dc0,False
24320,24320,0x5f00,False
24352,24352,0x5f20,True
24512,24512,0x5fc0,True
24640,24640,0x6040,False
24672,24672,0x6060,True
24800,24800,0x60e0,False
24960,24960,0x6180,False
24992,24992,0x61a0,True
25024,25024,0x61c0,True
25056,25056,0x61e0,True
25088,25088,0x6200,True
25152,25152,0x6240,True
25376,25376,0x6320,True
25728,25728,0x6480,True
25792,25792,0x64c0,True
25952,25952,0x6560,True
25984,25984,0x6580,True
26112,26112,0x6600,True
26144,26144,0x6620,True
26240,26240,0x6680,False
26432,26432,0x6740,True
26528,26528,0x67a0,True
26656,26656,0x6820,True
26752,26752,0x6880,True
26912,26912,0x6920,True
27264,27264,0x6a80,True
27360,27360,0x6ae0,False
27392,27392,0x6b00,True
27488,27488,0x6b60,True
27552,27552,0x6ba0,True
27712,27712,0x6c40,True
27840,27840,0x6cc0,False
27872,27872,0x6ce0,True
27968,27968,0x6d40,True
28192,28192,0x6e20,True
28512,28512,0x6f60,True
28736,28736,0x7040,True
28800,28800,0x7080,False
28832,28832,0x70a0,True
28864,28864,0x70c0,True
28896,28896,0x70e0,True
29152,29152,0x71e0,True
29408,29408,0x72e0,True
29536,29536,0x7360,True
29568,29568,0x7380,True
29600,29600,0x73a0,False
29952,29952,0x7500,True
29984,29984,0x7520,True
30272,30272,0x7640,True
30368,30368,0x76a0,True
30432,30432,0x76e0,True
30496,30496,0x7720,True
30720,30720,0x7800,False
30752,30752,0x7820,True
31008,31008,0x7920,True
31040,31040,0x7940,False
31168,31168,0x79c0,True
31232,31232,0x7a00,True
31424,31424,0x7ac0,True
31584,31584,0x7b60,True
31680,31680,0x7bc0,False
31712,31712,0x7be0,True
32000,32000,0x7d00,False
32032,32032,0x7d20,True
32064,32064,0x7d40,True
32416,32416,0x7ea0,True
32480,32480,0x7ee0,False
32512,32512,0x7f00,True
32768,32768,0x8000,True
32832,32832,0x8040,True
32864,32864,0x8060,True
33120,33120,0x8160,False
33440,33440,0x82a0,False
33472,33472,0x82c0,True
33632,33632,0x8360,True
33728,33728,0x83c0,True
33824,33824,0x8420,True
34080,34080,0x8520,False
34176,34176,0x8580,True
34272,34272,0x85e0,True
34304,34304,0x8600,True
34560,34560,0x8700,False
34592,34592,0x8720,True
34848,34848,0x8820,True
34976,34976,0x88a0,True
35072,35072,0x8900,True
35232,35232,0x89a0,True
35360,35360,0x8a20,False
35392,35392,0x8a40,True
35936,35936,0x8c60,True
36096,36096,0x8d00,True
36288,36288,0x8dc0,True
36320,36320,0x8de0,False
36480,36480,0x8e80,False
36512,36512,0x8ea0,True
36992,36992,0x9080,True
37056,37056,0x90c0,True
37120,37120,0x9100,False
37184,37184,0x9140,True
37248,37248,0x9180,True
37440,37440,0x9240,False
37472,37472,0x9260,True
37632,37632,0x9300,True
37664,37664,0x9320,True
37696,37696,0x9340,True
37856,37856,0x93e0,True
37888,37888,0x9400,True
38048,38048,0x94a0,True
38304,38304,0x95a0,True
38336,38336,0x95c0,True
38400,38400,0x9600,False
38432,38432,0x9620,True
38464,38464,0x9640,True
38784,38784,0x9780,True
38912,38912,0x9800,True
39008,39008,0x9860,True
39200,39200,0x9920,False
